Title,Artist,Year,Position,Ave BPM,Ave Pitch STD,Ave Pitch Value,Pitch Variation,Pitch Range,Mode Polarity,Note Onset Density
The Candy Man,Sammy Davis Jr.,1972,5,132.0,3.296666666666667,56.97982708933718,22,26,1.0,2.0933333333333333
Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1973,1,88.0,3.186666666666666,58.40357142857143,13,15,1.0,1.9900000000000002
"Bad, Bad Leroy Brown",Jim Croce,1973,2,148.0,2.6,56.16553287981859,5,9,1.0,2.44
Killing Me Softly with His Song,Roberta Flack,1973,3,122.0,3.295,63.532828282828284,10,14,-1.0,1.8399999999999999
Let's Get It On,Marvin Gaye,1973,4,84.0,3.795,63.616379310344826,18,29,1.0,1.58625
My Love,Paul McCartney and Wings,1973,5,60.0,4.406666666666666,61.222707423580786,12,18,1.0,1.1300000000000001
The Way We Were,Barbara Streisand,1974,1,69.0,3.7466666666666666,64.31205673758865,13,19,1.0,1.03
Seasons in the Sun,Terry Jacks,1974,2,99.0,2.69,56.84134615384615,14,14,1.0,2.045
Love's Theme,Love Unlimited Orchestra,1974,3,97.0,4.15,81.6456953642384,25,40,-1.0,2.0075000000000003
Come and Get Your Love,Redbone,1974,4,107.0,2.066666666666667,61.656346749226,5,9,-1.0,2.5433333333333334
Dancing Machine,The Jackson 5,1974,5,109.0,2.9125,67.38176638176638,15,24,1.0,2.755
Love Will Keep Us Together,Captain & Tennille,1975,1,130.0,2.9133333333333336,63.44408945686901,13,15,1.0,1.9833333333333332
Rhinestone Cowboy,Glen Campbell,1975,2,115.0,3.5033333333333334,57.98713826366559,12,24,1.0,1.8200000000000003
Elton John,Philadelphia Freedom,1975,3,125.0,3.72,62.19029126213592,12,21,-1.0,2.0166666666666666
Before the Next Teardrop Falls,Freddy Fender,1975,4,92.0,3.33,59.611111111111114,11,16,1.0,1.365
My Eyes Adored You,Frankie Valli,1975,5,69.0,2.4566666666666666,61.12276214833759,17,18,-1.0,2.0866666666666664
Silly Love Songs,Wing,1976,1,125.0,3.7299999999999995,61.8421052631579,13,21,0.8333333333333334,1.488
Don't Go Breaking My Heart,Elton John and Kiki Dee,1976,2,131.0,2.6133333333333333,66.71615720524018,10,14,1.0,1.8566666666666667
Disco Lady,Johnnie Taylor,1976,3,104.0,2.8075,62.684073107049606,12,20,1.0,1.8775
"December, 1963 (Oh, What a Night)",The Four Seasons,1976,4,104.0,2.7933333333333334,65.59154929577464,12,21,1.0,2.3433333333333333
Play That Funky Music,Wild Cherry,1976,5,109.0,3.07,63.387867647058826,21,24,1.0,2.355
Tonight's the Night (Gonna Be Alright),Rod Stewart,1977,1,91.0,3.763333333333333,62.734299516908216,9,17,1.0,1.5599999999999998
I Just Want To Be Your Everything,Andy Gibb,1977,2,97.0,3.3325,63.583333333333336,11,19,1.0,2.565
Best of My Love,The Emotions,1977,3,115.0,3.6574999999999998,70.41386554621849,14,19,1.0,2.4675000000000002
Evergreen (Love Theme from A Star Is Born),Barbara Streisand,1977,4,57.0,4.0475,66.08,14,17,1.0,0.95
Angel in Your Arms,Hot,1977,5,81.0,2.823333333333333,63.984042553191486,11,17,1.0,2.3233333333333333
Shadow Dancing,Andy Gibb,1978,1,102.0,3.0566666666666666,55.842622950819674,14,24,-1.0,2.826666666666666
Night Fever,Bee Gees,1978,2,109.0,2.3899999999999997,68.712158808933,12,18,-1.0,2.3575000000000004
You Light Up My Life,Debby Boone,1978,3,78.0,2.445,62.45762711864407,15,17,1.0,0.945
Stayin Alive,Bee Gees,1978,4,104.0,3.235,65.17,10,19,-0.6666666666666666,2.0949999999999998
Kiss You All Over,Exile,1978,5,102.0,2.7449999999999997,61.330065359477125,8,14,1.0,2.276666666666667
My Sharona,The Knack,1979,1,147.0,1.84,64.05732484076434,3,14,1.0,2.2
Bad Girls,Donna Summer,1979,2,121.0,3.015,65.87086092715232,7,14,-1.0,2.1574999999999998
Le Freak,Chic,1979,3,120.0,1.935,61.0929203539823,7,14,1.0,1.55
Da Ya Think I'm Sexy?,Rod Stewart,1979,4,112.0,3.15,66.27118644067797,6,10,-1.0,2.41
Reunited,Peaches & Herb,1979,5,76.0,3.3333333333333335,62.870588235294115,15,14,-1.0,1.9733333333333334
Call Me,Blondie,1980,1,143.0,3.486666666666667,66.63701067615658,12,16,-1.0,2.01
"Another Brick in the Wall, Part II",Pink Floyd,1980,2,104.0,1.75,61.5,11,21,1.0,1.28
Magic,Olivia Newton-John,1980,3,104.0,3.7300000000000004,64.87905604719764,15,20,1.0,1.58
Rock with You,Michael Jackson,1980,4,114.0,3.095,62.69090909090909,21,21,1.0,1.7225000000000001
Do That To Me One More Time,Captain & Tennille,1980,5,90.0,3.6799999999999997,62.7508896797153,11,16,1.0,1.77
Bette Davis Eyes,Kim Carnes,1981,1,116.0,2.86,66.0790513833992,9,14,1.0,1.85
Endless Love,Diana Ross and Lionel Richie,1981,2,93.0,2.6999999999999997,64.38524590163935,13,21,1.0,0.9900000000000001
Lady,Kenny Rogers,1981,3,68.0,3.27,57.851063829787236,11,17,-1.0,1.2066666666666668
(Just Like) Starting Over,John Lennon,1981,4,99.0,3.3166666666666664,58.228476821192054,16,19,1.0,1.5899999999999999
Jessie's Girl,Rick Springfield,1981,5,132.0,2.7525,61.037433155080215,11,19,1.0,2.8225
Physical,Olivia Newton-John,1982,1,124.0,2.98,67.84832904884318,10,17,-1.0,2.4400000000000004
Eye of the Tiger,Survivor,1982,2,109.0,2.2199999999999998,65.684375,7,12,-1.0,2.2649999999999997
I Love Rock 'N Roll,Joan Jett & The Blackhearts,1982,3,94.0,2.165,61.86533665835412,7,12,-1.0,2.79
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,4,80.0,3.1199999999999997,61.415637860082306,14,21,1.0,1.8800000000000001
Centerfold,The J. Geils Band,1982,5,114.0,3.0100000000000002,57.9358407079646,6,12,1.0,3.22
Every Breath You Take,The Police,1983,1,117.0,2.7099999999999995,60.376344086021504,10,19,1.0,1.96
Billie Jean,Michael Jackson,1983,2,117.0,2.6133333333333333,62.469565217391306,14,19,-1.0,2.6199999999999997
Flashdance...What a Feeling,Irene Cara,1983,3,124.0,2.31,66.5709090909091,12,16,-1.0,1.605
Down Under,Men at Work,1983,4,107.0,3.2,61.22598870056497,12,19,-1.0,2.335
Beat It,Michael Jackson,1983,5,139.0,3.16,66.88372093023256,8,15,-1.0,2.75
When Doves Cry,Prince,1984,1,126.0,1.74,55.42857142857143,4,7,-1.0,2.31
What's Love Got to Do with It,Tina Turner,1984,2,98.0,2.9499999999999997,64.18090452261306,12,17,1.0,2.0433333333333334
Say Say Say,Paul McCartney and Michael Jackson,1984,3,118.0,3.146666666666667,66.53454545454545,13,19,-1.0,2.4600000000000004
Footloose,Kenny Loggins,1984,4,174.0,1.9200000000000002,61.725,14,19,1.0,1.7850000000000001
Against All Odds (Take a Look at Me Now),Phil Collins,1984,5,58.0,3.34,62.01449275362319,10,16,1.0,2.115
Careless Whisper,George Michael,1985,1,76.0,3.09,62.387005649717516,15,24,-0.8,2.0549999999999997
Like a Virgin,Madonna,1985,2,120.0,2.6366666666666667,66.23765432098766,9,15,-1.0,1.5899999999999999
Wake Me Up Before You Go-Go,Wham!,1985,3,162.0,3.4625,62.583497053045186,11,24,1.0,2.8625
I Want to Know What Love Is,Foreigner,1985,4,81.0,2.6100000000000003,64.22135416666667,12,22,1.0,1.4799999999999998
I Feel for You,Chaka Khan,1985,5,125.0,2.41,66.48611111111111,9,12,1.0,2.3266666666666667
That's What Friends Are For,Dionne and Friends,1986,1,60.0,3.89,64.15384615384616,11,17,1.0,1.535
"Say You, Say Me",Lionel Richie,1986,2,75.33333333333333,2.9899999999999998,59.67625899280576,11,16,1.0,1.5899999999999999
I Miss You,Klymaxx,1986,3,70.0,3.4133333333333336,63.970588235294116,10,17,1.0,1.3233333333333333
On My Own,Patti LaBelle feat. Michael McDonald,1986,4,93.0,3.4159999999999995,66.19420289855073,16,26,-1.0,1.47
Broken Wings,Mr. Mister,1986,5,99.0,3.0700000000000003,63.02952029520295,9,14,-1.0,1.7066666666666668
Walk Like an Egyptian,The Bangles,1987,1,103.0,2.2133333333333334,61.62376237623762,8,12,1.0,2.7166666666666663
Alone,Heart,1987,2,88.0,2.175,65.51428571428572,12,20,1.0,1.645
Shake You Down,Gregory Abbott,1987,3,95.0,2.2066666666666666,64.05167958656331,8,12,-1.0,2.2566666666666664
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,4,119.0,2.8066666666666666,67.9128540305011,10,14,1.0,2.17
Nothing's Gonna Stop Us Now,Starship,1987,5,96.0,2.815,65.62677484787018,13,19,1.0,2.2175000000000002
Faith,George Michael,1988,1,96.0,2.6533333333333338,59.614285714285714,8,14,1.0,2.77
Need You Tonight,INXS,1988,2,109.0,2.8974999999999995,49.87456445993031,9,15,-1.0,1.9425
Got My Mind Set On You,George Harrison,1988,3,149.0,4.135,58.21342925659472,11,19,1.0,2.4975
